,BHFAL
2018-09-14,25.0
2018-09-17,25.0
2018-09-18,24.93000030517578
2018-09-19,24.799999237060547
2018-09-20,24.850000381469727
2018-09-21,25.040000915527344
2018-09-24,25.010000228881836
2018-09-25,25.049999237060547
2018-09-26,25.06999969482422
2018-09-27,25.079999923706055
2018-09-28,25.139999389648438
2018-10-01,24.950000762939453
2018-10-02,25.030000686645508
2018-10-03,24.889999389648438
2018-10-04,24.5
2018-10-05,24.399999618530273
2018-10-08,24.280000686645508
2018-10-09,23.969999313354492
2018-10-10,24.15999984741211
2018-10-11,24.540000915527344
2018-10-12,24.600000381469727
2018-10-15,24.3700008392334
2018-10-16,24.510000228881836
2018-10-17,24.5
2018-10-18,24.59000015258789
2018-10-19,24.59000015258789
2018-10-22,24.420000076293945
2018-10-23,24.649999618530273
2018-10-24,24.700000762939453
2018-10-25,24.75
2018-10-26,24.5
2018-10-29,24.709999084472656
2018-10-30,24.829999923706055
2018-10-31,24.68000030517578
2018-11-01,24.850000381469727
2018-11-02,24.520000457763672
2018-11-05,24.59000015258789
2018-11-06,24.979999542236328
2018-11-07,24.68000030517578
2018-11-08,24.829999923706055
2018-11-09,24.8799991607666
2018-11-12,24.899999618530273
2018-11-13,24.809999465942383
2018-11-14,24.760000228881836
2018-11-15,24.56999969482422
2018-11-16,24.43000030517578
2018-11-19,24.260000228881836
2018-11-20,24.489999771118164
2018-11-21,24.420000076293945
2018-11-23,24.399999618530273
2018-11-26,24.399999618530273
2018-11-27,24.079999923706055
2018-11-28,24.219999313354492
2018-11-29,24.079999923706055
2018-11-30,23.5
2018-12-03,23.149999618530273
2018-12-04,22.809999465942383
2018-12-06,22.399999618530273
2018-12-07,22.010000228881836
2018-12-10,22.079999923706055
2018-12-11,22.100000381469727
2018-12-12,22.450000762939453
2018-12-13,22.100000381469727
2018-12-14,22.5
2018-12-17,22.15999984741211
2018-12-18,22.100000381469727
2018-12-19,22.5
2018-12-20,22.190000534057617
2018-12-21,22.020000457763672
2018-12-24,21.0
2018-12-26,20.639999389648438
2018-12-27,20.270000457763672
2018-12-28,20.899999618530273
2018-12-31,21.219999313354492
2019-01-02,22.739999771118164
2019-01-03,23.530000686645508
2019-01-04,23.420000076293945
2019-01-07,23.239999771118164
2019-01-08,24.200000762939453
2019-01-09,24.600000381469727
2019-01-10,24.190000534057617
2019-01-11,24.200000762939453
2019-01-14,24.1200008392334
2019-01-15,23.940000534057617
2019-01-16,23.829999923706055
2019-01-17,24.3700008392334
2019-01-18,24.59000015258789
2019-01-22,24.0
2019-01-23,24.280000686645508
2019-01-24,24.600000381469727
2019-01-25,24.649999618530273
2019-01-28,24.799999237060547
2019-01-29,24.90999984741211
2019-01-30,24.850000381469727
2019-01-31,25.049999237060547
2019-02-01,24.6299991607666
2019-02-04,24.56999969482422
2019-02-05,24.579999923706055
2019-02-06,24.600000381469727
2019-02-07,24.5
2019-02-08,24.559999465942383
2019-02-11,24.459999084472656
2019-02-12,24.440000534057617
2019-02-13,24.559999465942383
2019-02-14,24.600000381469727
2019-02-15,24.920000076293945
2019-02-19,24.81999969482422
2019-02-20,24.709999084472656
2019-02-21,24.81999969482422
2019-02-22,24.829999923706055
2019-02-25,24.989999771118164
2019-02-26,25.06999969482422
2019-02-27,25.09000015258789
2019-02-28,24.8799991607666
2019-03-01,24.899999618530273
2019-03-04,25.0
2019-03-05,25.09000015258789
2019-03-06,24.979999542236328
2019-03-07,24.799999237060547
2019-03-08,24.90999984741211
2019-03-11,24.739999771118164
2019-03-12,24.600000381469727
2019-03-13,24.600000381469727
2019-03-14,24.56999969482422
2019-03-15,24.549999237060547
2019-03-18,24.40999984741211
2019-03-19,24.459999084472656
2019-03-20,24.84000015258789
2019-03-21,24.889999389648438
2019-03-22,24.81999969482422
2019-03-25,24.979999542236328
2019-03-26,25.049999237060547
2019-03-27,25.09000015258789
2019-03-28,25.139999389648438
2019-03-29,25.139999389648438
2019-04-01,25.190000534057617
2019-04-02,25.200000762939453
2019-04-03,25.190000534057617
2019-04-04,25.200000762939453
2019-04-05,25.229999542236328
2019-04-08,25.25
2019-04-09,25.1299991607666
2019-04-10,25.149999618530273
2019-04-11,25.229999542236328
2019-04-12,25.229999542236328
2019-04-15,25.350000381469727
2019-04-16,25.440000534057617
2019-04-17,25.530000686645508
2019-04-18,25.610000610351562
2019-04-22,25.65999984741211
2019-04-23,25.6299991607666
2019-04-24,25.719999313354492
2019-04-25,25.690000534057617
2019-04-26,25.75
2019-04-29,25.860000610351562
2019-04-30,25.65999984741211
2019-05-01,25.649999618530273
2019-05-02,25.670000076293945
2019-05-03,25.510000228881836
2019-05-06,25.579999923706055
2019-05-07,25.6200008392334
2019-05-08,25.649999618530273
2019-05-09,25.719999313354492
2019-05-10,25.780000686645508
2019-05-13,25.600000381469727
2019-05-14,25.610000610351562
2019-05-15,25.790000915527344
2019-05-16,25.84000015258789
2019-05-17,25.829999923706055
2019-05-20,25.56999969482422
2019-05-21,25.610000610351562
2019-05-22,25.719999313354492
2019-05-23,25.729999542236328
2019-05-24,25.84000015258789
2019-05-28,25.920000076293945
2019-05-29,26.110000610351562
2019-05-30,25.850000381469727
2019-05-31,25.549999237060547
2019-06-03,25.6299991607666
2019-06-04,25.84000015258789
2019-06-05,25.719999313354492
2019-06-06,25.670000076293945
2019-06-07,25.790000915527344
2019-06-10,25.969999313354492
2019-06-11,26.0
2019-06-12,26.09000015258789
2019-06-13,26.149999618530273
2019-06-14,26.200000762939453
2019-06-17,26.270000457763672
2019-06-18,26.219999313354492
2019-06-19,26.25
2019-06-20,26.25
2019-06-21,26.170000076293945
2019-06-24,26.079999923706055
2019-06-25,25.420000076293945
2019-06-26,25.540000915527344
2019-06-27,25.729999542236328
2019-06-28,25.969999313354492
2019-07-01,25.709999084472656
2019-07-02,25.690000534057617
2019-07-03,25.850000381469727
2019-07-05,25.940000534057617
2019-07-08,25.940000534057617
2019-07-09,25.989999771118164
2019-07-10,25.899999618530273
2019-07-11,26.06999969482422
2019-07-12,26.1299991607666
2019-07-15,26.170000076293945
2019-07-16,26.270000457763672
2019-07-17,26.5
2019-07-18,26.549999237060547
2019-07-19,26.639999389648438
2019-07-22,26.649999618530273
2019-07-23,26.610000610351562
2019-07-24,26.889999389648438
2019-07-25,26.760000228881836
2019-07-26,26.790000915527344
2019-07-29,26.93000030517578
2019-07-30,27.260000228881836
2019-07-31,27.399999618530273
2019-08-01,27.100000381469727
2019-08-02,27.270000457763672
2019-08-05,26.770000457763672
2019-08-06,26.940000534057617
2019-08-07,26.860000610351562
2019-08-08,26.799999237060547
2019-08-09,26.84000015258789
2019-08-12,26.780000686645508
2019-08-13,26.760000228881836
2019-08-14,26.84000015258789
2019-08-15,27.139999389648438
2019-08-16,27.139999389648438
2019-08-19,27.239999771118164
2019-08-20,27.170000076293945
2019-08-21,27.229999542236328
2019-08-22,27.350000381469727
2019-08-23,27.299999237060547
2019-08-26,27.34000015258789
2019-08-27,27.25
2019-08-28,27.329999923706055
2019-08-29,27.190000534057617
2019-08-30,27.290000915527344
2019-09-03,27.290000915527344
2019-09-04,27.1299991607666
2019-09-05,26.760000228881836
2019-09-06,26.5
2019-09-09,26.670000076293945
2019-09-10,26.489999771118164
2019-09-11,26.459999084472656
2019-09-12,26.329999923706055
2019-09-13,26.06999969482422
2019-09-16,26.200000762939453
2019-09-17,26.489999771118164
2019-09-18,26.690000534057617
2019-09-19,26.860000610351562
2019-09-20,26.920000076293945
2019-09-23,27.290000915527344
2019-09-24,27.110000610351562
2019-09-25,27.15999984741211
2019-09-26,26.90999984741211
2019-09-27,27.469999313354492
2019-09-30,27.700000762939453
2019-10-01,27.329999923706055
2019-10-02,27.139999389648438
2019-10-03,27.030000686645508
2019-10-04,26.989999771118164
2019-10-07,26.739999771118164
2019-10-08,26.809999465942383
2019-10-09,27.200000762939453
2019-10-10,27.049999237060547
2019-10-11,27.020000457763672
2019-10-14,27.3799991607666
2019-10-15,27.34000015258789
2019-10-16,27.299999237060547
2019-10-17,27.40999984741211
2019-10-18,27.229999542236328
2019-10-21,27.100000381469727
2019-10-22,26.940000534057617
2019-10-23,26.989999771118164
2019-10-24,27.059999465942383
2019-10-25,26.889999389648438
2019-10-28,26.899999618530273
2019-10-29,26.690000534057617
2019-10-30,26.6200008392334
2019-10-31,26.8700008392334
2019-11-01,26.950000762939453
2019-11-04,27.0
2019-11-05,26.8799991607666
2019-11-06,26.760000228881836
2019-11-07,26.739999771118164
2019-11-08,26.790000915527344
2019-11-11,26.559999465942383
2019-11-12,26.6299991607666
2019-11-13,26.860000610351562
2019-11-14,26.93000030517578
2019-11-15,27.0
2019-11-18,27.040000915527344
2019-11-19,26.940000534057617
2019-11-20,26.56999969482422
2019-11-21,26.670000076293945
2019-11-22,26.690000534057617
2019-11-25,26.729999542236328
2019-11-26,26.829999923706055
2019-11-27,26.290000915527344
2019-11-29,25.93000030517578
2019-12-02,25.940000534057617
2019-12-03,25.93000030517578
2019-12-04,26.0
2019-12-05,25.729999542236328
2019-12-06,26.040000915527344
2019-12-09,26.190000534057617
2019-12-10,26.3700008392334
2019-12-11,26.5
2019-12-12,26.690000534057617
2019-12-13,26.809999465942383
2019-12-16,27.059999465942383
2019-12-17,27.06999969482422
2019-12-18,27.059999465942383
2019-12-19,27.100000381469727
2019-12-20,27.200000762939453
2019-12-23,27.200000762939453
2019-12-24,27.399999618530273
2019-12-26,27.229999542236328
2019-12-27,27.239999771118164
2019-12-30,27.110000610351562
2019-12-31,27.1299991607666
2020-01-02,27.479999542236328
2020-01-03,27.700000762939453
2020-01-06,27.75
2020-01-07,27.479999542236328
2020-01-08,27.59000015258789
2020-01-09,27.6299991607666
2020-01-10,27.780000686645508
2020-01-13,27.850000381469727
2020-01-14,27.700000762939453
2020-01-15,27.450000762939453
2020-01-16,27.25
2020-01-17,27.360000610351562
2020-01-21,27.549999237060547
2020-01-22,27.219999313354492
2020-01-23,27.170000076293945
2020-01-24,26.979999542236328
2020-01-27,26.899999618530273
2020-01-28,26.920000076293945
2020-01-29,27.40999984741211
2020-01-30,27.540000915527344
2020-01-31,27.3700008392334
2020-02-03,27.40999984741211
2020-02-04,27.3799991607666
2020-02-05,27.239999771118164
2020-02-06,27.350000381469727
2020-02-07,27.3799991607666
2020-02-10,27.489999771118164
2020-02-11,27.549999237060547
2020-02-12,27.1200008392334
2020-02-13,27.299999237060547
2020-02-14,27.399999618530273
2020-02-18,27.5
2020-02-19,27.18000030517578
2020-02-20,27.25
2020-02-21,27.15999984741211
2020-02-24,26.770000457763672
2020-02-25,26.299999237060547
2020-02-26,26.290000915527344
2020-02-27,26.34000015258789
2020-02-28,25.670000076293945
2020-03-02,26.3799991607666
2020-03-03,26.389999389648438
2020-03-04,26.84000015258789
2020-03-05,26.219999313354492
2020-03-06,25.809999465942383
2020-03-09,24.770000457763672
2020-03-10,25.709999084472656
2020-03-11,25.450000762939453
2020-03-12,22.170000076293945
2020-03-13,24.06999969482422
2020-03-16,22.270000457763672
2020-03-17,22.670000076293945
2020-03-18,17.90999984741211
2020-03-19,18.079999923706055
2020-03-20,19.040000915527344
2020-03-23,16.920000076293945
2020-03-24,20.84000015258789
2020-03-25,22.860000610351562
2020-03-26,24.290000915527344
2020-03-27,23.420000076293945
2020-03-30,24.18000030517578
2020-03-31,24.270000457763672
2020-04-01,23.200000762939453
2020-04-02,23.18000030517578
2020-04-03,22.190000534057617
2020-04-06,23.18000030517578
2020-04-07,24.100000381469727
2020-04-08,24.510000228881836
2020-04-09,24.90999984741211
2020-04-13,24.350000381469727
2020-04-14,25.09000015258789
2020-04-15,24.8700008392334
2020-04-16,25.110000610351562
2020-04-17,25.15999984741211
2020-04-20,24.940000534057617
2020-04-21,24.809999465942383
2020-04-22,25.100000381469727
2020-04-23,25.559999465942383
2020-04-24,25.59000015258789
2020-04-27,25.43000030517578
2020-04-28,25.049999237060547
2020-04-29,25.260000228881836
2020-04-30,25.290000915527344
2020-05-01,25.25
2020-05-04,25.450000762939453
2020-05-05,25.149999618530273
2020-05-06,24.8799991607666
2020-05-07,25.079999923706055
2020-05-08,25.200000762939453
2020-05-11,25.3700008392334
2020-05-12,25.399999618530273
2020-05-13,25.209999084472656
2020-05-14,25.350000381469727
2020-05-15,25.5
2020-05-18,25.200000762939453
2020-05-19,25.020000457763672
2020-05-20,25.6200008392334
2020-05-21,25.3700008392334
2020-05-22,25.770000457763672
2020-05-26,25.59000015258789
2020-05-27,26.049999237060547
2020-05-28,26.0
2020-05-29,26.0
2020-06-01,25.850000381469727
2020-06-02,26.0
2020-06-03,25.889999389648438
2020-06-04,26.06999969482422
2020-06-05,26.139999389648438
2020-06-08,26.420000076293945
2020-06-09,26.09000015258789
2020-06-10,25.969999313354492
2020-06-11,24.760000228881836
2020-06-12,25.09000015258789
2020-06-15,25.549999237060547
2020-06-16,25.780000686645508
2020-06-17,25.639999389648438
2020-06-18,25.739999771118164
2020-06-19,25.899999618530273
2020-06-22,25.459999084472656
2020-06-23,25.260000228881836
2020-06-24,25.09000015258789
2020-06-25,25.31999969482422
2020-06-26,25.309999465942383
2020-06-29,25.600000381469727
2020-06-30,25.1200008392334
2020-07-01,25.260000228881836
2020-07-02,25.3700008392334
2020-07-06,25.440000534057617
2020-07-07,25.469999313354492
2020-07-08,25.260000228881836
2020-07-09,25.450000762939453
2020-07-10,25.649999618530273
2020-07-13,25.559999465942383
2020-07-14,25.700000762939453
2020-07-15,26.1200008392334
2020-07-16,26.25
2020-07-17,26.1200008392334
2020-07-20,26.200000762939453
2020-07-21,26.200000762939453
2020-07-22,26.219999313354492
2020-07-23,26.350000381469727
2020-07-24,26.329999923706055
2020-07-27,26.18000030517578
2020-07-28,26.31999969482422
2020-07-29,26.530000686645508
2020-07-30,26.799999237060547
2020-07-31,26.75
2020-08-03,26.690000534057617
2020-08-04,26.600000381469727
2020-08-05,26.989999771118164
2020-08-06,26.969999313354492
2020-08-07,26.90999984741211
2020-08-10,27.049999237060547
2020-08-11,27.020000457763672
2020-08-12,27.100000381469727
2020-08-13,27.40999984741211
2020-08-14,27.260000228881836
2020-08-17,27.110000610351562
2020-08-18,27.360000610351562
2020-08-19,26.90999984741211
2020-08-20,26.969999313354492
2020-08-21,27.049999237060547
2020-08-24,27.270000457763672
2020-08-25,27.3700008392334
2020-08-26,27.459999084472656
2020-08-27,27.540000915527344
2020-08-28,27.639999389648438
2020-08-31,27.040000915527344
2020-09-01,26.989999771118164
2020-09-02,26.959999084472656
2020-09-03,26.959999084472656
2020-09-04,26.510000228881836
2020-09-08,26.280000686645508
2020-09-09,26.829999923706055
2020-09-10,26.780000686645508
2020-09-11,26.670000076293945
2020-09-14,26.739999771118164
2020-09-15,27.100000381469727
2020-09-16,26.93000030517578
2020-09-17,26.719999313354492
2020-09-18,26.75
2020-09-21,26.610000610351562
2020-09-22,26.93000030517578
2020-09-23,26.5
2020-09-24,26.6200008392334
2020-09-25,27.09000015258789
2020-09-28,27.229999542236328
2020-09-29,26.709999084472656
2020-09-30,26.549999237060547
2020-10-01,26.940000534057617
2020-10-02,27.190000534057617
2020-10-05,26.850000381469727
2020-10-06,27.260000228881836
2020-10-07,27.600000381469727
2020-10-08,27.6200008392334
2020-10-09,27.3700008392334
2020-10-12,27.479999542236328
2020-10-13,27.079999923706055
2020-10-14,26.709999084472656
2020-10-15,26.979999542236328
2020-10-16,26.600000381469727
2020-10-19,26.610000610351562
2020-10-20,27.229999542236328
2020-10-21,26.790000915527344
2020-10-22,27.100000381469727
2020-10-23,27.489999771118164
2020-10-26,27.18000030517578
2020-10-27,27.040000915527344
2020-10-28,26.600000381469727
2020-10-29,26.610000610351562
2020-10-30,26.360000610351562
2020-11-02,26.5
2020-11-03,26.600000381469727
2020-11-04,26.969999313354492
2020-11-05,26.979999542236328
2020-11-06,26.579999923706055
2020-11-09,27.079999923706055
2020-11-10,26.780000686645508
2020-11-11,26.920000076293945
2020-11-12,26.809999465942383
2020-11-13,26.889999389648438
2020-11-16,27.079999923706055
2020-11-17,27.139999389648438
2020-11-18,27.149999618530273
2020-11-19,27.010000228881836
2020-11-20,26.950000762939453
2020-11-23,27.06999969482422
2020-11-24,27.299999237060547
2020-11-25,27.34000015258789
2020-11-27,27.299999237060547
2020-11-30,26.770000457763672
2020-12-01,26.790000915527344
2020-12-02,26.920000076293945
2020-12-03,26.8700008392334
2020-12-04,26.8799991607666
2020-12-07,26.8799991607666
2020-12-08,27.010000228881836
2020-12-09,27.149999618530273
2020-12-10,27.020000457763672
2020-12-11,26.979999542236328
2020-12-14,27.329999923706055
2020-12-15,27.579999923706055
2020-12-16,27.780000686645508
2020-12-17,27.770000457763672
2020-12-18,27.93000030517578
2020-12-21,28.030000686645508
2020-12-22,27.989999771118164
2020-12-23,27.809999465942383
2020-12-24,27.899999618530273
2020-12-28,27.899999618530273
2020-12-29,27.950000762939453
2020-12-30,28.139999389648438
2020-12-31,28.399999618530273
2021-01-04,28.100000381469727
2021-01-05,28.15999984741211
2021-01-06,27.34000015258789
2021-01-07,26.950000762939453
2021-01-08,26.93000030517578
2021-01-11,26.239999771118164
2021-01-12,26.239999771118164
2021-01-13,26.729999542236328
2021-01-14,26.530000686645508
2021-01-15,26.6200008392334
2021-01-19,26.889999389648438
2021-01-20,27.06999969482422
2021-01-21,27.010000228881836
2021-01-22,26.93000030517578
2021-01-25,26.889999389648438
2021-01-26,26.850000381469727
2021-01-27,26.440000534057617
2021-01-28,26.610000610351562
2021-01-29,26.5
2021-02-01,26.709999084472656
2021-02-02,26.959999084472656
2021-02-03,26.799999237060547
2021-02-04,26.8799991607666
2021-02-05,26.850000381469727
2021-02-08,26.770000457763672
2021-02-09,26.8700008392334
2021-02-10,26.770000457763672
2021-02-11,26.469999313354492
2021-02-12,26.399999618530273
2021-02-16,26.200000762939453
2021-02-17,26.31999969482422
2021-02-18,26.510000228881836
2021-02-19,26.510000228881836
2021-02-22,26.450000762939453
2021-02-23,26.479999542236328
2021-02-24,26.440000534057617
2021-02-25,26.1299991607666
2021-02-26,26.139999389648438
2021-03-01,26.329999923706055
2021-03-02,26.479999542236328
2021-03-03,26.520000457763672
2021-03-04,26.229999542236328
2021-03-05,26.360000610351562
2021-03-08,26.700000762939453
2021-03-09,26.780000686645508
2021-03-10,26.75
2021-03-11,27.010000228881836
2021-03-12,26.8700008392334
2021-03-15,27.020000457763672
2021-03-16,27.110000610351562
2021-03-17,26.989999771118164
2021-03-18,26.709999084472656
2021-03-19,26.989999771118164
2021-03-22,26.889999389648438
2021-03-23,26.90999984741211
2021-03-24,27.040000915527344
2021-03-25,27.059999465942383
2021-03-26,27.020000457763672
2021-03-29,26.920000076293945
2021-03-30,27.09000015258789
2021-03-31,27.1200008392334
2021-04-01,27.360000610351562
2021-04-05,27.3700008392334
2021-04-06,27.309999465942383
2021-04-07,27.239999771118164
2021-04-08,27.270000457763672
2021-04-09,27.239999771118164
2021-04-12,27.1299991607666
2021-04-13,27.139999389648438
2021-04-14,27.1200008392334
2021-04-15,27.06999969482422
2021-04-16,27.079999923706055
2021-04-19,27.059999465942383
2021-04-20,26.90999984741211
2021-04-21,27.079999923706055
2021-04-22,27.059999465942383
2021-04-23,27.06999969482422
2021-04-26,27.209999084472656
2021-04-27,27.239999771118164
2021-04-28,27.190000534057617
2021-04-29,27.079999923706055
2021-04-30,26.90999984741211
2021-05-03,27.209999084472656
2021-05-04,27.309999465942383
2021-05-05,27.31999969482422
2021-05-06,27.3799991607666
2021-05-07,27.5
2021-05-10,27.31999969482422
2021-05-11,27.200000762939453
2021-05-12,26.899999618530273
2021-05-13,27.139999389648438
2021-05-14,27.299999237060547
